DataY,AnimalID,RecDate,NovelDay,CellID,CellType,Environ,PosBin,StimCond
36.8216020249574,57,220329,1,7,1,1,1,0
30.2665772890453,57,220329,1,7,1,1,2,0
24.1359726580597,57,220329,1,7,1,1,3,0
18.7887108068085,57,220329,1,7,1,1,4,0
14.6726876119571,57,220329,1,7,1,1,5,0
12.2639425506146,57,220329,1,7,1,1,6,0
4.49329383390272,57,220329,1,7,1,1,7,0
-1.35642477211228,57,220329,1,7,1,1,8,0
-10.5598170809147,57,220329,1,7,1,1,9,0
-16.0210431801601,57,220329,1,7,1,1,10,0
-17.1115297834348,57,220329,1,7,1,1,11,0
-10.0892435829622,57,220329,1,7,1,1,12,0
3.97085802960452,57,220329,1,7,1,1,13,0
21.8692162335111,57,220329,1,7,1,1,14,0
40.0010388824519,57,220329,1,7,1,1,15,0
56.6704830766909,57,220329,1,7,1,1,16,0
68.9256975776062,57,220329,1,7,1,1,17,0
74.5543034553005,57,220329,1,7,1,1,18,0
73.2261487807406,57,220329,1,7,1,1,19,0
65.8191652384948,57,220329,1,7,1,1,20,0
58.1676098913348,57,220329,1,7,1,1,21,0
51.8049870233585,57,220329,1,7,1,1,22,0
47.8496045546546,57,220329,1,7,1,1,23,0
42.6198888485957,57,220329,1,7,1,1,24,0
36.0290445233192,57,220329,1,7,1,1,25,0
27.4381026101716,57,220329,1,7,1,1,26,0
38.6419000939292,57,220329,1,8,1,1,1,0
41.77815669368,57,220329,1,8,1,1,2,0
44.2443071740819,57,220329,1,8,1,1,3,0
46.3548243370123,57,220329,1,8,1,1,4,0
49.0385147422758,57,220329,1,8,1,1,5,0
50.3765837971245,57,220329,1,8,1,1,6,0
45.4902617142555,57,220329,1,8,1,1,7,0
39.6410224705435,57,220329,1,8,1,1,8,0
32.1844135447847,57,220329,1,8,1,1,9,0
28.4730889859995,57,220329,1,8,1,1,10,0
30.5501528139749,57,220329,1,8,1,1,11,0
37.9680945585836,57,220329,1,8,1,1,12,0
47.8685820507709,57,220329,1,8,1,1,13,0
58.101797858756,57,220329,1,8,1,1,14,0
67.5113879851049,57,220329,1,8,1,1,15,0
77.3316713358136,57,220329,1,8,1,1,16,0
87.864528447806,57,220329,1,8,1,1,17,0
98.9837604468451,57,220329,1,8,1,1,18,0
106.939205090176,57,220329,1,8,1,1,19,0
110.746608416387,57,220329,1,8,1,1,20,0
112.139975654663,57,220329,1,8,1,1,21,0
113.223079991086,57,220329,1,8,1,1,22,0
114.440071807022,57,220329,1,8,1,1,23,0
112.651439257744,57,220329,1,8,1,1,24,0
107.374183957168,57,220329,1,8,1,1,25,0
97.8316004122152,57,220329,1,8,1,1,26,0
-50.6003960976044,57,220330,2,1,1,1,1,0
2.38214794611775,57,220330,2,1,1,1,2,0
42.1804998547234,57,220330,2,1,1,1,3,0
70.752605781052,57,220330,2,1,1,1,4,0
83.4147656996234,57,220330,2,1,1,1,5,0
80.8746415385347,57,220330,2,1,1,1,6,0
69.231588086192,57,220330,2,1,1,1,7,0
37.815531379397,57,220330,2,1,1,1,8,0
2.29301790995162,57,220330,2,1,1,1,9,0
-20.4852426873414,57,220330,2,1,1,1,10,0
-6.71953930366114,57,220330,2,1,1,1,11,0
18.2111428201182,57,220330,2,1,1,1,12,0
33.5857619895073,57,220330,2,1,1,1,13,0
