AnimalID,RecDate,NovelDay,DataY,StimCond,Environ,BehavT,TrialT
57,220405,3,0.878047337278107,Goal,1,Speed,AllTrials
61,220908,3,0.8293,Goal,1,Speed,AllTrials
63,221009,3,0.931316950220542,Goal,1,Speed,AllTrials
62,221013,3,0.979550470699518,Goal,1,Speed,AllTrials
65,221023,3,0.810528213448711,Goal,1,Speed,AllTrials
4,230430,3,0.98861188057864,Goal,1,Speed,AllTrials
57,220405,3,0.93491124260355,Goal,1,Speed,LowStim
61,220908,3,0.84,Goal,1,Speed,LowStim
63,221009,3,1,Goal,1,Speed,LowStim
62,221013,3,1,Goal,1,Speed,LowStim
65,221023,3,0.859375,Goal,1,Speed,LowStim
4,230430,3,1,Goal,1,Speed,LowStim
57,220405,3,0.881656804733728,Goal,1,Speed,HighStim
61,220908,3,1,Goal,1,Speed,HighStim
63,221009,3,0.78125,Goal,1,Speed,HighStim
62,221013,3,1,Goal,1,Speed,HighStim
65,221023,3,0.875,Goal,1,Speed,HighStim
4,230430,3,1,Goal,1,Speed,HighStim
57,220405,3,0.893583579881657,Goal,1,Speed,NoStim
61,220908,3,0.828395061728395,Goal,1,Speed,NoStim
63,221009,3,0.930947339662591,Goal,1,Speed,NoStim
62,221013,3,0.976744186046512,Goal,1,Speed,NoStim
65,221023,3,0.818858172135641,Goal,1,Speed,NoStim
4,230430,3,0.987348229772472,Goal,1,Speed,NoStim
57,220405,3,0.902366863905325,Goal,1,Speed,BothStim
61,220908,3,0.9,Goal,1,Speed,BothStim
63,221009,3,0.923875432525951,Goal,1,Speed,BothStim
62,221013,3,1,Goal,1,Speed,BothStim
65,221023,3,0.828125,Goal,1,Speed,BothStim
4,230430,3,1,Goal,1,Speed,BothStim
11,200130,1,0.872764003673095,None,1,Speed,AllTrials
11,200131,2,0.938578696045691,None,1,Speed,AllTrials
11,200201,3,0.848344606621573,None,1,Speed,AllTrials
11,200203,1,0.741590057533629,None,1,Speed,AllTrials
11,200204,2,0.899297052154194,None,1,Speed,AllTrials
11,200205,3,0.879629837604726,None,1,Speed,AllTrials
18,200814,1,0.777659111585776,None,1,Speed,AllTrials
18,200815,2,0.933049779458097,None,1,Speed,AllTrials
18,200816,3,0.727780292741814,None,1,Speed,AllTrials
18,200818,1,0.93276146837871,None,1,Speed,AllTrials
18,200819,2,0.908816568047337,None,1,Speed,AllTrials
18,200820,3,0.890553451297416,None,1,Speed,AllTrials
21,201010,1,0.988507231404959,None,1,Speed,AllTrials
21,201011,2,0.920561224489796,None,1,Speed,AllTrials
21,201012,3,0.983427467300832,None,1,Speed,AllTrials
21,201014,1,0.984608420099593,None,1,Speed,AllTrials
21,201015,2,0.987840512772175,None,1,Speed,AllTrials
21,201016,3,0.976258739500025,None,1,Speed,AllTrials
