Proportion,AnimalID,Date,NovelDay,Environment,StimCondition
63.6363636363636,4,230428,1,2,1
78.5714285714286,57,220329,1,2,1
70.9677419354839,62,221008,1,2,1
44.4444444444444,63,221007,1,2,1
15.3846153846154,65,221018,1,2,1
63.1578947368421,4,230429,2,2,1
67.8571428571429,57,220330,2,2,1
50,62,221009,2,2,1
75,63,221008,2,2,1
7.69230769230769,65,221019,2,2,1
68,4,230430,3,2,1
55.5555555555556,57,220331,3,2,1
59.0909090909091,62,221010,3,2,1
64.2857142857143,63,221009,3,2,1
28.5714285714286,65,221020,3,2,1
70.5882352941177,57,220403,1,2,2
36.6666666666667,61,220906,1,2,2
55.5555555555556,62,221011,1,2,2
52.1739130434783,63,221004,1,2,2
26.3157894736842,65,221021,1,2,2
52.1739130434783,57,220404,2,2,2
50,61,220907,2,2,2
47.0588235294118,62,221012,2,2,2
41.9354838709677,63,221005,2,2,2
0,65,221022,2,2,2
48.1481481481481,57,220405,3,2,2
63.3333333333333,61,220908,3,2,2
39.1304347826087,62,221013,3,2,2
52.3809523809524,63,221006,3,2,2
50,65,221023,3,2,2
