Proportion,AnimalID,Date,NovelDay,Environment
42.1052631578947,11,200203,1,1
100,18,200814,1,1
45.8333333333333,18,200818,1,1
75,21,201010,1,1
80,21,201014,1,1
83.3333333333333,24,201113,1,1
65.9090909090909,24,201117,1,1
44.1176470588235,45,211007,1,1
38.8888888888889,45,211012,1,1
34.6938775510204,46,211017,1,1
16,46,211020,1,1
46.6666666666667,47,211017,1,1
36,47,211020,1,1
66.6666666666667,11,200131,2,1
65.2173913043478,11,200204,2,1
12.5,18,200815,2,1
60.4651162790698,18,200819,2,1
57.1428571428571,21,201011,2,1
36.3636363636364,21,201015,2,1
81.8181818181818,24,201114,2,1
32,24,201118,2,1
37.037037037037,45,211008,2,1
28.5714285714286,45,211013,2,1
44.1860465116279,46,211018,2,1
26.9230769230769,46,211021,2,1
24.2424242424242,47,211018,2,1
48.6486486486487,47,211021,2,1
57.5757575757576,11,200201,3,1
36.1111111111111,11,200205,3,1
47.0588235294118,18,200816,3,1
53.8461538461538,18,200820,3,1
57.6923076923077,21,201012,3,1
80,21,201016,3,1
57.6923076923077,24,201115,3,1
62.5,24,201119,3,1
50,45,211010,3,1
22.2222222222222,45,211014,3,1
36.1111111111111,46,211019,3,1
21.4285714285714,46,211022,3,1
31.5789473684211,47,211019,3,1
62.5,47,211022,3,1
15.7894736842105,11,200203,1,2
0,18,200814,1,2
54.1666666666667,18,200818,1,2
20.8333333333333,21,201010,1,2
42.5,21,201014,1,2
12.5,24,201113,1,2
47.7272727272727,24,201117,1,2
44.1176470588235,45,211007,1,2
44.4444444444444,45,211012,1,2
38.7755102040816,46,211017,1,2
36,46,211020,1,2
60,47,211017,1,2
60,47,211020,1,2
0,11,200131,2,2
0,11,200204,2,2
18.75,18,200815,2,2
67.4418604651163,18,200819,2,2
47.6190476190476,21,201011,2,2
63.6363636363636,21,201015,2,2
86.3636363636364,24,201114,2,2
44,24,201118,2,2
70.3703703703704,45,211008,2,2
47.6190476190476,45,211013,2,2
37.2093023255814,46,211018,2,2
50,46,211021,2,2
57.5757575757576,47,211018,2,2
75.6756756756757,47,211021,2,2
18.1818181818182,11,200201,3,2
36.1111111111111,11,200205,3,2
41.1764705882353,18,200816,3,2
36.5384615384615,18,200820,3,2
61.5384615384615,21,201012,3,2
73.3333333333333,21,201016,3,2
80.7692307692308,24,201115,3,2
41.6666666666667,24,201119,3,2
43.75,45,211010,3,2
40.7407407407407,45,211014,3,2
41.6666666666667,46,211019,3,2
30,46,211022,3,2
63.1578947368421,47,211019,3,2
65.625,47,211022,3,2
