resFR,isCorrect,AnimalID,RecDate,NovelDay,CellID,CellType
-0.0558576767211355,1,11,200131,2,5,1
-0.450488806061027,1,11,200131,2,12,1
-0.0632874358594057,1,11,200131,2,23,1
-0.0439038293199424,1,11,200131,2,25,1
-0.0100757106145779,1,11,200131,2,51,1
0.0281792056326377,1,11,200201,3,1,1
-0.234096953807872,1,11,200201,3,19,1
-0.141541031918038,1,11,200201,3,62,1
-0.768001536440424,1,11,200201,3,95,1
-0.13567235921898,1,11,200201,3,120,1
0.11957883211837,1,11,200201,3,154,1
-0.594445926044642,1,11,200201,3,178,1
-0.427584683390366,1,11,200201,3,532,1
0.759829396756903,1,11,200201,3,549,1
-0.307615095989611,1,11,200201,3,561,1
-0.0260195538649604,1,11,200201,3,609,1
0.10756907069017,1,11,200201,3,611,1
-0.0945140261711363,1,11,200203,1,96,1
-0.397919865564446,1,11,200203,1,146,1
-0.472734354006527,1,11,200203,1,168,1
0.2959269160292,1,11,200203,1,311,1
-0.655474618115584,1,11,200203,1,412,1
-0.325493355269807,1,11,200204,2,17,1
-0.431503773177602,1,11,200204,2,44,1
-0.116557587984307,1,11,200204,2,77,1
0.379131097652439,1,11,200204,2,155,1
0.0815056103291293,1,11,200204,2,157,1
-0.150194217156527,1,11,200204,2,159,1
-0.519836694833124,1,11,200205,3,208,1
-0.602082365857777,1,11,200205,3,210,1
-0.768751091487874,1,11,200205,3,224,1
-0.596604662993654,1,11,200205,3,232,1
-0.499147152972744,1,11,200205,3,242,1
-0.467198263084448,1,18,200815,2,343,1
-0.322589544872201,1,18,200816,3,33,1
-0.194296139439229,1,18,200816,3,60,1
0.0931717563342632,1,18,200816,3,255,1
-0.763010052820577,1,18,200816,3,379,1
-0.226106506408815,1,18,200816,3,452,1
-0.391623283734124,1,18,200816,3,546,1
-0.26290852311516,1,18,200818,1,104,1
0.381911012448771,1,18,200818,1,106,1
-0.263714405652622,1,18,200818,1,116,1
-0.101125561280787,1,18,200818,1,323,1
-0.262264069478957,1,18,200818,1,421,1
0.485051812984086,1,18,200819,2,39,1
-0.506461009027847,1,18,200819,2,56,1
0.10971109358012,1,18,200819,2,175,1
-0.307320113145973,1,18,200819,2,177,1
0.0803478611330953,1,18,200819,2,182,1
0.291677147831863,1,18,200819,2,203,1
-0.416625092803705,1,18,200819,2,483,1
0.26849504094867,1,18,200820,3,18,1
-0.0698489742134148,1,18,200820,3,51,1
0.175688019879949,1,18,200820,3,501,1
-0.646033082781749,1,18,200820,3,549,1
-0.0834942758098632,1,21,201010,1,2,1
-0.647082342418974,1,21,201010,1,116,1
-0.79850921052408,1,21,201010,1,133,1
0.115966870753219,1,21,201011,2,5,1
-0.479817393397112,1,21,201011,2,165,1
0.0140574493920034,1,21,201011,2,167,1
-0.718993350220478,1,21,201011,2,240,1
0.153992593404779,1,21,201012,3,53,1
-0.797187887628878,1,21,201012,3,233,1
-0.436380274731503,1,21,201014,1,232,1
0.213542822458718,1,21,201014,1,362,1
-0.614451412376335,1,21,201014,1,729,1
-0.570811432500557,1,21,201015,2,28,1
-0.651140322353132,1,21,201015,2,104,1
-0.0065262502381197,1,21,201015,2,156,1
-0.436563082779748,1,21,201015,2,333,1
-0.185441141751717,1,21,201016,3,89,1
-0.399973040448162,1,24,201113,1,699,1
-0.491480026413689,1,24,201113,1,740,1
-0.162389584232786,1,24,201114,2,5,1
-0.546133004583568,1,24,201114,2,24,1
-0.466475221387541,1,24,201114,2,64,1
-0.863324854155137,1,24,201115,3,103,1
-0.513009919968251,1,24,201115,3,105,1
0.109412485245629,1,24,201115,3,128,1
-0.389004316070308,1,24,201115,3,495,1
-0.26575176697219,1,24,201115,3,871,1
-0.0710281688015005,1,24,201115,3,942,1
0.25539086138402,1,24,201115,3,954,1
-0.191274365776995,1,24,201117,1,174,1
-0.24210588971811,1,24,201117,1,446,1
-0.445124539184797,1,24,201117,1,562,1
-0.352080136089003,1,24,201117,1,590,1
