resFR,isCorrect,AnimalID,RecDate,NovelDay,CellID,CellType
0.0724222478941831,1,11,200131,2,5,1
0.278741061766431,1,11,200131,2,12,1
-0.026016172591142,1,11,200131,2,23,1
-0.0734835530830842,1,11,200131,2,25,1
-0.146926978505048,1,11,200131,2,51,1
-0.361785989741261,1,11,200201,3,1,1
-0.184991756066388,1,11,200201,3,19,1
-0.154707631043812,1,11,200201,3,62,1
-0.26443081839728,1,11,200201,3,95,1
-0.031989126198705,1,11,200201,3,120,1
0.281836788124053,1,11,200201,3,154,1
-0.250010459351067,1,11,200201,3,178,1
-0.051178982024258,1,11,200201,3,532,1
0.318982636660329,1,11,200201,3,549,1
-0.261066983471545,1,11,200201,3,561,1
-0.022439164428291,1,11,200201,3,609,1
0.0590001891149295,1,11,200201,3,611,1
-0.477920643864085,1,11,200203,1,96,1
-0.149322662142004,1,11,200203,1,146,1
-0.470250149663618,1,11,200203,1,168,1
-0.0846930239622061,1,11,200203,1,311,1
0.336824853839365,1,11,200203,1,412,1
0.494816206898728,1,11,200204,2,17,1
-0.361992350122295,1,11,200204,2,44,1
-0.172819244691389,1,11,200204,2,77,1
0.604454096224904,1,11,200204,2,155,1
0.528885847524894,1,11,200204,2,157,1
-0.033979383442988,1,11,200204,2,159,1
-0.460428126184175,1,11,200205,3,208,1
0.0777790060556102,1,11,200205,3,210,1
0.313059100032668,1,11,200205,3,224,1
-0.079988892322432,1,11,200205,3,232,1
-0.101780534789376,1,11,200205,3,242,1
-0.503524111415389,1,18,200815,2,343,1
0.420018802611259,1,18,200816,3,33,1
0.327708048567451,1,18,200816,3,60,1
0.497393127868121,1,18,200816,3,255,1
0.42286009895465,1,18,200816,3,379,1
-0.0228633711313885,1,18,200816,3,452,1
-0.499510148186394,1,18,200816,3,546,1
-0.293689221164147,1,18,200818,1,104,1
0.0329539015559604,1,18,200818,1,106,1
0.418250376300698,1,18,200818,1,116,1
0.00374671408262101,1,18,200818,1,323,1
0.046815797981406,1,18,200818,1,421,1
-0.272209125723245,1,18,200819,2,39,1
0.393272956634867,1,18,200819,2,56,1
-0.600874779304214,1,18,200819,2,175,1
-0.511620693118585,1,18,200819,2,177,1
-0.510798643762731,1,18,200819,2,182,1
-0.267016956660015,1,18,200819,2,203,1
-0.314880002105309,1,18,200819,2,483,1
-0.302337837243758,1,18,200820,3,18,1
-0.312712833678474,1,18,200820,3,51,1
-0.365516142114139,1,18,200820,3,501,1
-0.081459164030341,1,18,200820,3,549,1
-0.0367818844994948,1,21,201011,2,5,1
-0.100152699901462,1,21,201011,2,165,1
-0.071320454865736,1,21,201011,2,167,1
-0.708471128469789,1,21,201011,2,240,1
-0.434452810793676,1,21,201012,3,53,1
-0.646997350929763,1,21,201012,3,233,1
-0.519418524656194,1,21,201014,1,232,1
0.372408605606727,1,21,201014,1,362,1
-0.20231291888701,1,21,201014,1,729,1
-0.538203864158392,1,21,201015,2,28,1
-0.582917849709469,1,21,201015,2,104,1
-0.0431040569899694,1,21,201015,2,156,1
-0.323448308167589,1,21,201015,2,333,1
0.225552866268655,1,21,201016,3,89,1
-0.124958023088231,1,24,201113,1,699,1
-0.530430158370632,1,24,201113,1,740,1
-0.173569892069662,1,24,201114,2,5,1
-0.552389766563307,1,24,201114,2,24,1
-0.264225645411829,1,24,201114,2,64,1
0.00327567415408128,1,24,201115,3,103,1
-0.375524622743293,1,24,201115,3,105,1
-0.269486373770378,1,24,201115,3,128,1
-0.114877921284773,1,24,201115,3,495,1
-0.418129234487989,1,24,201115,3,871,1
-0.621448302239102,1,24,201115,3,942,1
-0.309073452045481,1,24,201115,3,954,1
-0.0044640859278291,1,24,201117,1,174,1
-0.205461655163582,1,24,201117,1,446,1
-0.708647540530426,1,24,201117,1,562,1
-0.12680988886857,1,24,201117,1,590,1
-0.261680968898852,1,24,201117,1,665,1
0.585756258053973,1,24,201117,1,700,1
-0.395448919020616,1,24,201118,2,88,1
-0.515219657524828,1,24,201118,2,94,1
-0.102793413532809,1,24,201118,2,130,1
0.35396678171998,1,24,201118,2,143,1
-0.343593013708531,1,24,201118,2,293,1
-0.177322358146834,1,24,201118,2,516,1
-0.38285563380128,1,24,201119,3,110,1
-0.236059326927262,1,24,201119,3,181,1
-0.05138249789566,1,24,201119,3,541,1
-0.585288923418434,1,45,211007,1,29,1
-0.0351436185576635,1,45,211007,1,61,1
-0.078495948204005,1,45,211007,1,119,1
-0.545196380668401,1,45,211007,1,128,1
-0.44441036798722,1,45,211007,1,145,1
-0.499986099156872,1,45,211007,1,172,1
-0.30968301628631,1,45,211008,2,69,1
0.380791879081253,1,45,211008,2,74,1
-0.813459053024375,1,45,211008,2,84,1
0.0334478491657083,1,45,211010,3,13,1
0.436332970578704,1,45,211010,3,121,1
0.336267906581217,1,45,211010,3,127,1
0.375190597087353,1,45,211010,3,131,1
0.207294463624289,1,45,211010,3,136,1
0.63355709310926,1,45,211010,3,301,1
-0.738721955517179,1,45,211012,1,24,1
-0.0113620211164861,1,45,211012,1,63,1
-0.617166308423334,1,45,211012,1,93,1
0.021094857022786,1,45,211012,1,180,1
-0.389800055027518,1,45,211013,2,8,1
-0.782114143421782,1,45,211013,2,15,1
-0.377237618545348,1,45,211013,2,55,1
-0.634442999115726,1,45,211013,2,115,1
-0.908503013107352,1,45,211013,2,127,1
-0.260263706255338,1,45,211013,2,163,1
-0.361932313460532,1,45,211013,2,200,1
-0.0678130148245632,1,45,211014,3,72,1
-0.209291600861124,1,45,211014,3,74,1
-0.0380700780520977,1,45,211014,3,78,1
