AnimalID,RecDate,NovelDay,rawAUC,normAUC,StimCond,Environ,BehavT,TrialT
57,220329,1,0.596319444444444,0,Goal,2,Speed,AllTrials
57,220330,2,0.627069254138508,16.2272687427264,Goal,2,Speed,AllTrials
57,220331,3,0.613931523022432,3.95419053336715,Goal,2,Speed,AllTrials
63,221007,1,0.773486254005734,0,Goal,2,Speed,AllTrials
62,221008,1,0.575446187128178,0,Goal,2,Speed,AllTrials
63,221008,2,0.635907202216066,2.95346374197068,Goal,2,Speed,AllTrials
62,221009,2,0.62180249851279,-8.23243472226245,Goal,2,Speed,AllTrials
63,221009,3,0.808616780045352,4.27338975875366,Goal,2,Speed,AllTrials
62,221010,3,0.74355416811192,18.5760844124695,Goal,2,Speed,AllTrials
65,221018,1,0.747400756143667,0,Goal,2,Speed,AllTrials
65,221019,2,0.769258034026465,-17.7868774108361,Goal,2,Speed,AllTrials
65,221020,3,0.602862552907106,4.54184232204296,Goal,2,Speed,AllTrials
4,230428,1,0.571771241004924,0,Goal,2,Speed,AllTrials
4,230429,2,0.664554096876415,2.92443882390138,Goal,2,Speed,AllTrials
4,230430,3,0.594380165289256,-19.3387820454355,Goal,2,Speed,AllTrials
57,220403,1,0.549306062819576,0,Sham,2,Speed,AllTrials
57,220404,2,0.835385393826952,52.0801335304651,Sham,2,Speed,AllTrials
57,220405,3,0.948368728839643,72.6485092794509,Sham,2,Speed,AllTrials
61,220906,1,0.542861005949162,0,Sham,2,Speed,AllTrials
61,220907,2,0.878306878306878,61.7922209703031,Sham,2,Speed,AllTrials
61,220908,3,0.87938901011704,61.991559622058,Sham,2,Speed,AllTrials
62,221011,1,0.538024691358025,0,Sham,2,Speed,AllTrials
62,221012,2,0.646158854166667,20.0983643586508,Sham,2,Speed,AllTrials
62,221013,3,0.853515625,58.6387462712253,Sham,2,Speed,AllTrials
63,221004,1,0.55092717011556,0,Sham,2,Speed,AllTrials
63,221005,2,0.789480800432666,43.3003930931684,Sham,2,Speed,AllTrials
63,221006,3,0.912007128536422,65.5404158675136,Sham,2,Speed,AllTrials
65,221021,1,0.865787856020764,0,Sham,2,Speed,AllTrials
65,221022,2,0.910440741736092,5.1574857980288,Sham,2,Speed,AllTrials
65,221023,3,0.894132914418414,3.27390343957081,Sham,2,Speed,AllTrials
57,220329,1,0.641003460207612,0,Goal,2,Speed,LowStim
57,220330,2,0.589965397923875,3.25364468486762,Goal,2,Speed,LowStim
57,220331,3,0.569160997732426,-5.94777082712741,Goal,2,Speed,LowStim
63,221007,1,0.667355371900826,0,Goal,2,Speed,LowStim
62,221008,1,0.502835538752363,0,Goal,2,Speed,LowStim
63,221008,2,0.62603305785124,-11.2078119596917,Goal,2,Speed,LowStim
62,221009,2,0.680272108843537,-14.7686388859631,Goal,2,Speed,LowStim
63,221009,3,0.767857142857143,6.12612116371515,Goal,2,Speed,LowStim
62,221010,3,0.763705103969754,29.4491349250786,Goal,2,Speed,LowStim
65,221018,1,0.651041666666667,0,Goal,2,Speed,LowStim
65,221019,2,0.814236111111111,-6.19195046439628,Goal,2,Speed,LowStim
65,221020,3,0.625432525951557,15.0597080937638,Goal,2,Speed,LowStim
4,230428,1,0.647569444444444,0,Goal,2,Speed,LowStim
4,230429,2,0.668639053254438,25.0666666666666,Goal,2,Speed,LowStim
4,230430,3,0.609053497942387,-3.93356401384083,Goal,2,Speed,LowStim
57,220403,1,0.545,0,Sham,2,Speed,LowStim
57,220404,2,0.766439909297052,40.6311760178077,Sham,2,Speed,LowStim
57,220405,3,0.927777777777778,70.2344546381244,Sham,2,Speed,LowStim
61,220906,1,0.611570247933884,0,Sham,2,Speed,LowStim
61,220907,2,0.9140625,49.461570945946,Sham,2,Speed,LowStim
61,220908,3,0.935185185185185,52.9154154154154,Sham,2,Speed,LowStim
62,221011,1,0.572916666666667,0,Sham,2,Speed,LowStim
62,221012,2,0.6272,9.47490909090907,Sham,2,Speed,LowStim
62,221013,3,0.7712,34.6094545454545,Sham,2,Speed,LowStim
63,221004,1,0.52734375,0,Sham,2,Speed,LowStim
63,221005,2,0.735349716446125,39.4440943779318,Sham,2,Speed,LowStim
63,221006,3,0.941176470588235,78.4749455337691,Sham,2,Speed,LowStim
65,221021,1,0.76690946930281,0,Sham,2,Speed,LowStim
65,221022,2,0.886479591836735,15.5911652313571,Sham,2,Speed,LowStim
65,221023,3,0.913333333333333,19.0927182270466,Sham,2,Speed,LowStim
57,220329,1,0.554498269896194,0,Goal,2,Speed,HighStim
57,220330,2,0.584489795918367,34.5911949685535,Goal,2,Speed,HighStim
57,220331,3,0.643990929705215,-1.11033465331158,Goal,2,Speed,HighStim
63,221007,1,0.77,0,Goal,2,Speed,HighStim
62,221008,1,0.729678638941399,0,Goal,2,Speed,HighStim
63,221008,2,0.663223140495868,16.1393938750747,Goal,2,Speed,HighStim
62,221009,2,0.6925,24.8402699306164,Goal,2,Speed,HighStim
63,221009,3,0.875,24.8876755070203,Goal,2,Speed,HighStim
62,221010,3,0.678819444444444,16.1388015983861,Goal,2,Speed,HighStim
65,221018,1,0.800347222222222,0,Goal,2,Speed,HighStim
65,221019,2,0.857638888888889,-13.8671246109263,Goal,2,Speed,HighStim
65,221020,3,0.641873278236915,13.6363636363636,Goal,2,Speed,HighStim
4,230428,1,0.552083333333333,0,Goal,2,Speed,HighStim
4,230429,2,0.743055555555556,7.15835140997832,Goal,2,Speed,HighStim
4,230430,3,0.545953360768176,-19.800648966494,Goal,2,Speed,HighStim
57,220403,1,0.515,0,Sham,2,Speed,HighStim
57,220404,2,0.8475,64.5631067961165,Sham,2,Speed,HighStim
57,220405,3,0.971462544589774,88.6335038038396,Sham,2,Speed,HighStim
61,220906,1,0.638429752066116,0,Sham,2,Speed,HighStim
61,220907,2,0.889273356401384,39.2907134298608,Sham,2,Speed,HighStim
61,220908,3,0.789473684210526,23.6586612161472,Sham,2,Speed,HighStim
62,221011,1,0.53125,0,Sham,2,Speed,HighStim
62,221012,2,0.542899408284024,2.19282979463976,Sham,2,Speed,HighStim
62,221013,3,0.896,68.6588235294118,Sham,2,Speed,HighStim
63,221004,1,0.885813148788927,0,Sham,2,Speed,HighStim
63,221005,2,0.731568998109641,-17.4127185727788,Sham,2,Speed,HighStim
63,221006,3,0.92797783933518,4.75999826869805,Sham,2,Speed,HighStim
65,221021,1,0.874444444444444,0,Sham,2,Speed,HighStim
65,221022,2,0.891632373113854,1.96558269408755,Sham,2,Speed,HighStim
65,221023,3,0.881377551020408,0.79285843943675,Sham,2,Speed,HighStim
57,220329,1,0.614275147928994,0,Goal,2,Speed,NoStim
57,220330,2,0.673008323424495,12.750176849152,Goal,2,Speed,NoStim
57,220331,3,0.641632653061225,14.5924758212262,Goal,2,Speed,NoStim
63,221007,1,0.844897959183673,0,Goal,2,Speed,NoStim
62,221008,1,0.5275,0,Goal,2,Speed,NoStim
63,221008,2,0.61328125,4.453623954097,Goal,2,Speed,NoStim
62,221009,2,0.555026769779893,-21.6205830388693,Goal,2,Speed,NoStim
63,221009,3,0.795085381091212,-9.64525072336964,Goal,2,Speed,NoStim
62,221010,3,0.780245746691872,15.9340411604,Goal,2,Speed,NoStim
65,221018,1,0.772727272727273,0,Goal,2,Speed,NoStim
65,221019,2,0.722107438016529,-27.4135718599034,Goal,2,Speed,NoStim
65,221020,3,0.576297616395634,-5.89569160997732,Goal,2,Speed,NoStim
4,230428,1,0.569898869720404,0,Goal,2,Speed,NoStim
4,230429,2,0.642561983471074,-6.55080213903744,Goal,2,Speed,NoStim
4,230430,3,0.653061224489796,-25.4203084664474,Goal,2,Speed,NoStim
57,220403,1,0.626297577854671,0,Sham,2,Speed,NoStim
57,220404,2,0.854166666666667,36.3835174953959,Sham,2,Speed,NoStim
57,220405,3,0.95603305785124,52.6483722204465,Sham,2,Speed,NoStim
61,220906,1,0.591269841269841,0,Sham,2,Speed,NoStim
61,220907,2,0.855555555555556,44.6979865771812,Sham,2,Speed,NoStim
61,220908,3,0.8719723183391,47.4745129003042,Sham,2,Speed,NoStim
62,221011,1,0.551020408163265,0,Sham,2,Speed,NoStim
62,221012,2,0.727789256198347,32.0802724211815,Sham,2,Speed,NoStim
62,221013,3,0.892249527410208,61.9267660855563,Sham,2,Speed,NoStim
63,221004,1,0.604591836734694,0,Sham,2,Speed,NoStim
63,221005,2,0.861875,42.5548523206751,Sham,2,Speed,NoStim
63,221006,3,0.862068965517241,42.5869343809108,Sham,2,Speed,NoStim
65,221021,1,0.903055555555556,0,Sham,2,Speed,NoStim
65,221022,2,0.92292269993317,2.19999137986501,Sham,2,Speed,NoStim
65,221023,3,0.892164273116654,-1.20604788619028,Sham,2,Speed,NoStim
57,220329,1,0.597318339100346,0,Goal,2,Speed,BothStim
57,220330,2,0.588531821045999,19.7244712990936,Goal,2,Speed,BothStim
57,220331,3,0.603174603174603,-7.26194472418038,Goal,2,Speed,BothStim
63,221007,1,0.712018140589569,0,Goal,2,Speed,BothStim
62,221008,1,0.622400756143667,0,Goal,2,Speed,BothStim
63,221008,2,0.644628099173554,0.980425962323148,Goal,2,Speed,BothStim
62,221009,2,0.691255205234979,5.75481798715203,Goal,2,Speed,BothStim
63,221009,3,0.819196428571429,15.7264326215258,Goal,2,Speed,BothStim
62,221010,3,0.71661385242191,21.7629747102325,Goal,2,Speed,BothStim
65,221018,1,0.724826388888889,0,Goal,2,Speed,BothStim
65,221019,2,0.825086805555556,-9.46465231352319,Goal,2,Speed,BothStim
65,221020,3,0.629761639563377,15.0527468152866,Goal,2,Speed,BothStim
4,230428,1,0.574652777777778,0,Goal,2,Speed,BothStim
4,230429,2,0.688,13.8323353293413,Goal,2,Speed,BothStim
4,230430,3,0.532921810699588,-13.1155199069448,Goal,2,Speed,BothStim
57,220403,1,0.511875,0,Sham,2,Speed,BothStim
57,220404,2,0.809637120761451,58.1708660828232,Sham,2,Speed,BothStim
57,220405,3,0.943981614478598,84.4164326209715,Sham,2,Speed,BothStim
61,220906,1,0.485020661157025,0,Sham,2,Speed,BothStim
61,220907,2,0.897153351698806,84.9721926399243,Sham,2,Speed,BothStim
61,220908,3,0.879474068663258,81.3271349235428,Sham,2,Speed,BothStim
62,221011,1,0.526041666666667,0,Sham,2,Speed,BothStim
62,221012,2,NaN,NaN,Sham,2,Speed,BothStim
62,221013,3,0.8244,56.7176237623762,Sham,2,Speed,BothStim
63,221004,1,0.67860422405877,0,Sham,2,Speed,BothStim
63,221005,2,0.73062381852552,7.66567501681882,Sham,2,Speed,BothStim
63,221006,3,NaN,NaN,Sham,2,Speed,BothStim
65,221021,1,0.819940876108573,0,Sham,2,Speed,BothStim
65,221022,2,0.892561983471074,8.85687120602644,Sham,2,Speed,BothStim
65,221023,3,0.898038049940547,9.52473234443707,Sham,2,Speed,BothStim
57,220329,1,0.661231030257329,0,Goal,2,Speed,ShortStim
