DataY,AnimalID,RecDate,NovelDay,CellID,CellType,StimCond,Environ,GoalMod
0.824195948014544,4,230428,1,1,1,2,1,1
0.368806774840115,4,230428,1,2,3,2,1,1
0.533436289427827,4,230428,1,3,3,2,1,1
0.903740256659994,4,230428,1,4,1,2,1,0
0.847848102826105,4,230428,1,5,1,2,1,0
0.829528046875677,4,230428,1,6,3,2,1,1
0.656379747447721,4,230428,1,7,3,2,1,0
0.640391658775707,4,230428,1,8,3,2,1,1
0.742245688716456,4,230428,1,9,3,2,1,1
0.773290265104345,4,230428,1,10,3,2,1,0
0.737018104242158,4,230428,1,11,3,2,1,0
0.765481622880182,4,230428,1,12,3,2,1,1
0.600473943222893,4,230428,1,13,3,2,1,1
0.569950080228033,4,230428,1,14,3,2,1,1
0.640764692777279,4,230428,1,15,3,2,1,0
0.511990136143192,4,230428,1,16,3,2,1,1
0.407302958711875,4,230428,1,17,3,2,1,0
0.455715788580437,4,230428,1,18,1,2,1,1
0.720758793777313,4,230428,1,19,3,2,1,0
0.874393174444452,4,230428,1,20,3,2,1,0
0.61624091107596,4,230428,1,21,3,2,1,1
0.708291036806667,4,230428,1,22,3,2,1,1
0.47726311309234,4,230428,1,23,3,2,1,0
0.466376952859616,4,230428,1,24,3,2,1,0
0.773802965340119,4,230428,1,25,3,2,1,1
0.376038839527521,4,230428,1,26,3,2,1,0
0.501840918210932,4,230429,2,1,3,2,1,1
0.605504454674232,4,230429,2,2,3,2,1,0
0.653590204779304,4,230429,2,3,3,2,1,0
0.669582636635677,4,230429,2,4,3,2,1,0
0.733222859136436,4,230429,2,5,3,2,1,0
0.316795350086397,4,230429,2,6,3,2,1,0
0.479327039445807,4,230429,2,7,2,2,1,1
0.690698080859732,4,230429,2,8,1,2,1,1
0.610531915576228,4,230429,2,9,1,2,1,1
0.827055874273272,4,230429,2,10,1,2,1,0
0.785703874642227,4,230429,2,11,1,2,1,0
0.497860309074331,4,230429,2,12,2,2,1,1
0.374489801392165,4,230429,2,13,2,2,1,1
0.604824095135922,4,230429,2,14,1,2,1,1
0.367602575284607,4,230429,2,15,2,2,1,0
0.725271761960677,4,230429,2,16,2,2,1,0
0.313949686820087,4,230429,2,17,3,2,1,1
0.491980267576153,4,230429,2,18,3,2,1,0
0.668255353891634,4,230429,2,19,1,2,1,0
0.498211393732843,4,230429,2,20,3,2,1,0
0.431796900563984,4,230429,2,21,3,2,1,0
0.859241658825974,4,230429,2,22,3,2,1,0
0.539620869672838,4,230429,2,23,3,2,1,0
0.441514437398879,4,230429,2,24,1,2,1,1
0.483421315348479,4,230429,2,25,3,2,1,1
0.399198266075614,4,230429,2,26,3,2,1,0
0.659700249085547,4,230429,2,27,3,2,1,1
0.472057494699684,4,230429,2,28,3,2,1,1
0.542727844614153,4,230429,2,29,3,2,1,0
0.757752620174496,4,230429,2,30,3,2,1,1
0.483035377800424,4,230429,2,31,3,2,1,1
0.654600258234218,4,230429,2,32,3,2,1,1
0.446776232351171,4,230429,2,33,2,2,1,1
0.46462906045181,4,230429,2,34,3,2,1,1
0.30725261403059,4,230429,2,35,3,2,1,1
0.4947886814452,4,230430,3,1,1,2,1,0
0.792080222642484,4,230430,3,2,3,2,1,0
0.804515653575866,4,230430,3,3,1,2,1,1
0.77609372218354,4,230430,3,4,3,2,1,1
0.206679144688977,4,230430,3,5,3,2,1,1
0.416547588718746,4,230430,3,6,3,2,1,0
0.304009235967553,4,230430,3,7,3,2,1,0
0.803864430611829,4,230430,3,8,1,2,1,0
0.179509525188866,4,230430,3,9,3,2,1,0
0.353942618942167,4,230430,3,10,2,2,1,0
0.481709702557417,4,230430,3,11,3,2,1,1
0.488904791150381,4,230430,3,12,1,2,1,0
0.538876945545278,4,230430,3,13,3,2,1,0
0.724463049973736,4,230430,3,14,2,2,1,0
0.895318204539656,4,230430,3,15,1,2,1,0
0.709335051432941,4,230430,3,16,3,2,1,0
0.711184984628919,4,230430,3,17,3,2,1,0
0.779626826468219,4,230430,3,18,3,2,1,0
0.479400921077338,4,230430,3,19,3,2,1,0
0.642624580944491,4,230430,3,20,3,2,1,0
0.179940563447811,4,230430,3,21,3,2,1,0
0.246720319956013,4,230430,3,22,3,2,1,0
0.738005628181884,4,230430,3,23,3,2,1,0
