DataY,AnimalID,RecDate,NovelDay,StimCond,Environ
0.217391304347826,18,200816,3,0,1
0.130434782608696,18,200816,3,0,1
0.130434782608696,18,200816,3,0,1
0,18,200816,3,0,1
0.695652173913043,18,200816,3,0,1
0.434782608695652,18,200816,3,0,1
0.173913043478261,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0.0434782608695652,18,200816,3,0,1
0.0434782608695652,18,200816,3,0,1
0.0434782608695652,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0.0434782608695652,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0.130434782608696,18,200816,3,0,1
0.0434782608695652,18,200816,3,0,1
0.0434782608695652,18,200816,3,0,1
0.0434782608695652,18,200816,3,0,1
0.0869565217391304,18,200816,3,0,1
0,18,200816,3,0,1
0.217391304347826,18,200816,3,0,1
0.173913043478261,18,200816,3,0,1
0.0869565217391304,18,200816,3,0,1
0.217391304347826,18,200816,3,0,1
0.130434782608696,18,200816,3,0,1
0.0869565217391304,18,200816,3,0,1
0.0434782608695652,18,200816,3,0,1
0,18,200816,3,0,1
0.521739130434783,18,200816,3,0,1
0.347826086956522,18,200816,3,0,1
0.130434782608696,18,200816,3,0,1
0.0869565217391304,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0.217391304347826,18,200816,3,0,1
0.0869565217391304,18,200816,3,0,1
0.0434782608695652,18,200816,3,0,1
0,18,200816,3,0,1
0.0434782608695652,18,200816,3,0,1
0,18,200816,3,0,1
0.173913043478261,18,200816,3,0,1
0.130434782608696,18,200816,3,0,1
0.0434782608695652,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0.130434782608696,18,200816,3,0,1
0.0869565217391304,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0.0869565217391304,18,200816,3,0,1
0.0869565217391304,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0,18,200816,3,0,1
0.391304347826087,18,200816,3,0,1
0.173913043478261,18,200816,3,0,1
0.0869565217391304,18,200816,3,0,1
0.272727272727273,18,200818,1,0,1
0.272727272727273,18,200818,1,0,1
0.272727272727273,18,200818,1,0,1
0.181818181818182,18,200818,1,0,1
0,18,200818,1,0,1
0.272727272727273,18,200818,1,0,1
0.272727272727273,18,200818,1,0,1
0.0909090909090909,18,200818,1,0,1
0,18,200818,1,0,1
0.0909090909090909,18,200818,1,0,1
1,18,200818,1,0,1
1,18,200818,1,0,1
0.727272727272727,18,200818,1,0,1
0,18,200818,1,0,1
1,18,200818,1,0,1
1,18,200818,1,0,1
0.0909090909090909,18,200818,1,0,1
