DataY,AnimalID,RecDate,NovelDay,StimCond,Environ
0.0505000000000067,4,230428,1,0,1
0.0614999999999952,4,230428,1,0,1
0.0810000000000031,4,230428,1,0,1
0.0570000000000164,4,230428,1,0,1
0.0820000000000221,4,230428,1,0,1
0.0470000000000255,4,230428,1,0,1
0.0715000000000146,4,230428,1,0,1
0.0494999999998527,4,230428,1,0,1
0.121000000000038,4,230428,1,2,2
0.0499999999999972,4,230428,1,0,1
0.101499999999987,4,230428,1,0,1
0.0844999999999914,4,230428,1,0,1
0.0900000000000318,4,230428,1,0,1
0.0494999999999663,4,230428,1,0,1
0.0495000000000232,4,230428,1,0,1
0.129500000000007,4,230428,1,0,1
0.118000000000052,4,230428,1,0,1
0.0774999999999864,4,230428,1,0,1
0.0665000000000191,4,230428,1,0,1
0.0504999999999427,4,230428,1,0,1
0.14549999999997,4,230428,1,0,1
0.0800000000000409,4,230428,1,0,1
0.0889999999999418,4,230428,1,0,1
0.0610000000000355,4,230428,1,0,1
0.166499999999999,4,230428,1,2,2
0.0874999999999773,4,230428,1,2,2
0.0665000000000191,4,230428,1,2,2
0.0675000000001091,4,230428,1,2,2
0.0679999999999836,4,230428,1,2,2
0.0664999999999907,4,230429,2,0,1
0.0670000000000073,4,230429,2,0,1
0.0805000000000007,4,230429,2,0,1
0.04200000000003,4,230429,2,0,1
0.0564999999999145,4,230429,2,0,1
0.0430000000000064,4,230429,2,0,1
0.111999999999966,4,230429,2,0,1
0.0644999999999527,4,230429,2,0,1
0.0705000000000382,4,230429,2,0,1
0.0594999999999573,4,230429,2,0,1
0.0505000000000564,4,230429,2,0,1
0.0960000000000036,4,230429,2,0,1
0.140499999999975,4,230429,2,0,1
0.115999999999985,4,230429,2,0,1
0.0839999999999463,4,230429,2,0,1
0.0899999999999181,4,230429,2,0,1
0.0475000000000136,4,230429,2,0,1
0.0610000000000355,4,230429,2,0,1
0.0504999999999427,4,230429,2,0,1
0.0575000000000045,4,230429,2,0,1
0.197000000000003,4,230429,2,2,2
0.0845000000000482,4,230429,2,2,2
0.05600000000004,4,230429,2,2,2
0.0609999999999218,4,230429,2,2,2
0.0449999999998454,4,230429,2,2,2
0.0360000000000582,4,230429,2,2,2
0.07549999999992,4,230429,2,2,2
0.139499999999998,4,230429,2,0,1
0.100500000000011,4,230429,2,0,1
0.183500000000009,4,230429,2,0,1
0.0584999999999809,4,230429,2,0,1
0.0874999999999773,4,230429,2,0,1
0.0935000000000059,4,230429,2,0,1
0.0620000000000118,4,230429,2,0,1
0.128500000000031,4,230429,2,0,1
0.117500000000064,4,230429,2,0,1
0.0779999999999745,4,230429,2,0,1
0.0500000000000682,4,230429,2,0,1
0.109500000000025,4,230429,2,0,1
0.0639999999999645,4,230429,2,0,1
0.0539999999999736,4,230429,2,0,1
0.0879999999999654,4,230429,2,0,1
0.0780000000000882,4,230429,2,0,1
0.0500000000000682,4,230429,2,0,1
0.0575000000000045,4,230429,2,0,1
0.110000000000014,4,230429,2,0,1
0.0519999999999072,4,230429,2,0,1
0.0734999999999673,4,230429,2,0,1
0.0659999999999172,4,230429,2,0,1
0.0910000000001219,4,230429,2,0,1
0.100499999999784,4,230429,2,0,1
0.0509999999999309,4,230429,2,0,1
0.0810000000000013,4,230429,2,2,2
0.0519999999999996,4,230429,2,2,2
0.103999999999999,4,230429,2,2,2
0.0750000000000455,4,230429,2,2,2
0.0715000000000146,4,230429,2,2,2
0.0760000000000218,4,230429,2,2,2
0.0554999999999382,4,230429,2,2,2
0.0789999999999509,4,230429,2,2,2
0.0945000000000391,4,230429,2,2,2
0.0430000000001201,4,230429,2,2,2
0.0534999999999854,4,230429,2,2,2
0.1105,4,230430,3,1,1
0.0904999999999916,4,230430,3,1,1
0.163000000000011,4,230430,3,1,1
0.0685000000000855,4,230430,3,1,1
0.0794999999998254,4,230430,3,1,1
0.134500000000116,4,230430,3,1,1
0.0480000000000018,4,230430,3,1,1
0.145499999999856,4,230430,3,1,1
0.0589999999999691,4,230430,3,1,1
0.0565000000001419,4,230430,3,1,1
0.0884999999998399,4,230430,3,1,1
0.0489999999999782,4,230430,3,1,1
0.0734999999999673,4,230430,3,1,1
0.083500000000015,4,230430,3,2,2
0.0885000000000673,4,230430,3,2,2
0.05600000000004,4,230430,3,2,2
0.0869999999999891,4,230430,3,1,1
0.0840000000000032,4,230430,3,1,1
0.148000000000025,4,230430,3,1,1
0.0670000000000073,4,230430,3,1,1
0.0654999999999291,4,230430,3,1,1
0.0430000000000064,4,230430,3,1,1
0.0525000000000091,4,230430,3,1,1
0.0470000000000255,4,230430,3,1,1
0.08949999999993,4,230430,3,1,1
0.104000000000042,4,230430,3,1,1
0.0779999999999745,4,230430,3,1,1
0.0914999999999964,4,230430,3,1,1
0.0760000000000218,4,230430,3,2,2
0.0674999999999955,4,230430,3,2,2
0.0679999999999836,4,230430,3,2,2
0.0929999999999609,4,230430,3,2,2
0.0720000000000027,4,230430,3,2,2
0.0619999999998981,4,230430,3,2,2
0.0680000000000405,4,230430,3,1,1
0.0690000000000168,4,230430,3,1,1
0.107999999999947,4,230430,3,1,1
0.0694999999999482,4,230430,3,1,1
0.0699999999999363,4,230430,3,1,1
0.129000000000019,4,230430,3,1,1
0.0849999999999227,4,230430,3,1,1
0.0439999999999827,4,230430,3,1,1
0.0384999999999991,4,230430,3,1,1
0.0494999999999663,4,230430,3,1,1
0.106500000000011,11,200201,3,0,1
0.177000000000021,11,200201,3,0,1
0.0845000000000056,11,200201,3,0,1
0.0469999999999686,11,200201,3,0,1
